12345,2007-12-01,N,5355.78
12345,2007-12-01,N,4854.92
12345,2007-12-03,C,-927.99
12345,2007-12-03,M,3783.59
12345,2007-12-04,K,-1463.3
12345,2007-12-04,O,-4380.23
12345,2007-12-04,J,-3892.28
12345,2007-12-04,K,-1731.39
12345,2007-12-05,O,267.03
12345,2007-12-05,G,680.45
12345,2007-12-06,F,-3491.42
12345,2007-12-07,Q,-5344.24
12345,2007-12-09,55554,-287.01
12345,2007-12-09,Q,-81.45
12345,2007-12-09,H,152.34
12345,2007-12-11,P,1378.65
12345,2007-12-11,H,1697.01
12345,2007-12-11,G,-2459.37
12345,2007-12-13,D,-276.34
12345,2007-12-13,R,-3347.66
12345,2007-12-13,H,3393.59
12345,2007-12-14,O,1345.14
12345,2007-12-14,E,3577.37
12345,2007-12-14,B,4112.19
12345,2007-12-15,H,-89.19
12345,2007-12-15,P,3132.51
12345,2007-12-15,N,-8423.51
12345,2007-12-15,R,4337.11
12345,2007-12-16,F,7693.61
12345,2007-12-16,32325,-2755.83
12345,2007-12-16,E,-2575.52
12345,2007-12-16,G,-2036.94
12345,2007-12-16,B,-1297.68
12345,2007-12-17,H,-4198.06
12345,2007-12-17,R,-370.08
12345,2007-12-18,K,-372.6
12345,2007-12-18,G,435.26
12345,2007-12-18,H,-1331.78
12345,2007-12-18,R,1856.92
12345,2007-12-18,N,-384.89
12345,2007-12-18,D,-271.64
12345,2007-12-19,R,-7859.94
12345,2007-12-19,L,-105.41
12345,2007-12-19,M,-7230.37
12345,2007-12-19,R,-85.19
12345,2007-12-19,E,1144.36
12345,2007-12-19,E,-378.06
12345,2007-12-19,H,-4031.97
12345,2007-12-20,B,-4691.94
12345,2007-12-20,J,7255.12
12345,2007-12-20,E,-2618.66
12345,2007-12-20,I,2424.38
12345,2007-12-20,I,-2189.14
12345,2007-12-20,C,-2536.63
12345,2007-12-21,55554,-2595.75
12345,2007-12-21,L,-316.22
12345,2007-12-21,G,-92.39
12345,2007-12-22,E,-274.99
12345,2007-12-22,P,-2339.58
12345,2007-12-22,Q,3626.07
12345,2007-12-22,B,24.55
