2009-05-01,Cliffs Natural Resources,679.94
2009-05-01,Carlisle Companies,-3391.96
2009-05-01,32325,-414.05
2009-05-01,Southwest Airlines,-761.68
2009-05-01,Ann Taylor,-5514.94
2009-05-01,Dun & Bradstreet,-2243.39
2009-05-01,Dunkin' Donuts,-3226.96
2009-05-01,Ingredion Incorporated,692.75
2009-05-02,S3 Graphics,-43.64
2009-05-03,Kmart,3239.07
2009-05-03,Carlson Companies,-307.15
2009-05-05,Emerson Radio,-1774.29
2009-05-05,American Electric Power,-1334.49
2009-05-05,Alcoa,-4075.39
2009-05-05,Boeing,799.75
2009-05-05,Liz Claiborne,-551.02
2009-05-05,Big 5 Sporting Goods,-109.46
2009-05-07,AMSOIL  Inc.,-1911.73
2009-05-07,656547,-537.67
2009-05-07,Moody's,-1202.5
2009-05-07,Firestone Tire and Rubber Company,-3741.01
2009-05-07,Starz,-2081.08
2009-05-08,Schnitzer Steel Industries,-6090.68
2009-05-08,Eastman Chemical Company,-507.77
2009-05-08,32325,-496.38
2009-05-08,Cabela's,2648.57
2009-05-08,OSI Restaurant Partners,-1783.17
2009-05-08,Molex  Inc.,-3378.15
2009-05-09,Arch Coal,2160.77
2009-05-09,BlackRock,-5153.33
2009-05-09,Deere & Company,4969.93
2009-05-09,Savage Arms Company,37.2
2009-05-09,OfficeMax,-127.65
2009-05-09,The Walt Disney Company,4798.54
2009-05-10,Rockstar Games,127.45
2009-05-10,CIT Group,-833.05
2009-05-10,Cypress Semiconductor,-102.06
2009-05-10,CBS Corporation,-1594.71
2009-05-10,Baxter International,-533.5
2009-05-10,Loews Corporation,368.49
2009-05-10,iRobot,-486.28
2009-05-11,Kerr-McGee,-4045.15
2009-05-11,Domino's Pizza,3407.05
2009-05-12,Orbital Sciences Corporation,-2426.61
2009-05-12,Ross Stores,3111.49
2009-05-12,NRG Energy,3864.26
2009-05-12,Netgear,3767.19
2009-05-12,Joseph A. Bank Clothiers,-2148.97
2009-05-12,Omaha Steaks,-1235.22
2009-05-16,Interstate Van Lines,3251.52
2009-05-16,Estée Lauder Companies,-407.81
2009-05-16,656547,-586.22
2009-05-16,CareFusion,-5218.86
2009-05-16,32325,-1539.92
2009-05-16,Asbury Automotive Group,-605.0
2009-05-16,Newfield Exploration,3427.5
2009-05-17,Blistex  Inc.,-9098.28
2009-05-17,Bloomin' Brands,-4678.07
2009-05-17,Seaboard Corporation,2574.92
2009-05-17,Newegg.com  Inc.,6274.36
2009-05-17,Invacare Corporation,3180.56
2009-05-17,Rodale  Inc.,-1078.86
2009-05-17,55554,-1208.31
2009-05-18,Hot Topic,-1754.45
2009-05-18,Pizza Hut,4703.52
2009-05-18,Benchmark Electronics,-2634.26
2009-05-19,Brink's,-860.99
2009-05-19,Qualcomm,-2942.38
2009-05-19,Dillard's,-1567.38
2009-05-20,Stanley Black & Decker,-5254.76
2009-05-20,Piggybackr,-3346.12
2009-05-20,656547,-2293.95
2009-05-20,Juniper Networks,-687.23
2009-05-20,Crowley Maritime,105.94
2009-05-21,Sinclair Oil Corporation,3177.98
2009-05-21,Madison Dearborn Partners,-2153.1
2009-05-21,Pacific Life Insurance Company,-5447.86
2009-05-21,Sunoco,-72.0
2009-05-22,The Clorox Company,-559.62
2009-05-23,Sun Capital Partners,-3.36
2009-05-23,Republic Services  Inc.,853.82
2009-05-23,McDonald's,-1782.41
2009-05-23,Las Vegas Sands Corp.,-6784.0
2009-05-24,Diebold,-5579.51
2009-05-24,RaceTrac Petroleum,-771.18
2009-05-24,C&S Wholesale Grocers,-5081.51
2009-05-24,Russell Investments,769.42
2009-05-24,Dura Automotive Systems,-7007.38
2009-05-24,Au Bon Pain,-4031.53
2009-05-24,Burpee Seeds,5658.96
2009-05-25,Borders Group,-2408.91
2009-05-25,DST Systems,-4254.55
2009-05-25,Cracker Barrel,229.55
2009-05-26,Thermo Fisher Scientific,-3603.88
2009-05-27,Seagate Technology,-6319.84
2009-05-27,AOL,-6647.95
2009-05-27,ON Semiconductor,-7990.19
2009-05-27,Burton Snowboards,-867.82
2009-05-27,Applied Materials,-239.9
2009-05-27,55554,-3854.29
2009-05-27,Panda Express,1099.6
2009-05-28,DiC Entertainment,-4289.94
2009-05-28,Goldman Sachs,4467.28
2009-05-28,PPG Industries,-3086.45
2009-05-29,Brink's,3446.82
2009-05-29,AT&T Mobility,-2344.76
2009-05-29,TIAA-CREF,-1010.33
2009-05-29,BNSF Railway,-896.84
2009-05-29,Amgen,1813.54
2009-05-29,55554,-758.12
2009-05-29,Eureka,3176.4
2009-05-30,Citrix Systems,795.53
2009-05-30,Electronic Arts,377.3
2009-05-30,Manpower  Inc.,-1965.99
2009-05-30,Sturm  Ruger & Company,-542.86
2009-05-30,Blyth  Inc.,-1733.59
2009-05-30,Sheetz  Inc.,-1612.51
2009-05-31,Genuine Parts Company,-5565.59
2009-05-31,32325,-6662.45
2009-05-31,Arizona Beverage Company,-601.18
2009-05-31,Kingston Technology,-7185.34
2009-05-31,J. B. Hunt Transport Services,-3398.67
2009-05-31,Renys,1282.67
2009-05-31,Stewart-Warner,-348.25
2009-05-31,656547,-3876.46
2009-05-31,American Home Mortgage,-1679.68
2009-05-31,656547,-2787.96
