2009-06-01,Spectra Energy,-1078.35
2009-06-02,L&L Hawaiian Barbecue,-153.09
2009-06-02,American Financial Group,-4249.77
2009-06-02,656547,-6476.36
2009-06-02,Big Boy Restaurants,-501.83
2009-06-02,FLIR Systems,-1568.27
2009-06-02,American Greetings,-25.33
2009-06-02,HanesBrands,-2942.88
2009-06-02,32325,-282.74
2009-06-02,Royal Caribbean International,824.8
2009-06-04,Renco Group,-8818.17
2009-06-04,Red Robin Gourmet Burgers,-4403.22
2009-06-04,Saleen Automotive,-1216.61
2009-06-04,32325,-1185.88
2009-06-04,Textron,-4870.08
2009-06-05,Maxtor,-7875.95
2009-06-05,Meineke Car Care Centers,-249.13
2009-06-05,Albemarle Corporation,-182.91
2009-06-05,Academi,2890.26
2009-06-05,Regis Corporation,-208.3
2009-06-05,Enterprise Holdings,-3759.41
2009-06-06,Sierra Nevada Corporation,-4776.11
2009-06-06,Koch Industries,-316.39
2009-06-06,Sonic Restaurants  Inc.,3844.4
2009-06-08,Ingram Micro,4469.71
2009-06-08,Avis Budget Group,453.89
2009-06-09,Ebonite International,1874.11
2009-06-09,CIGNA,-652.4
2009-06-09,The Manischewitz Company,-213.52
2009-06-09,JL Audio,-1992.86
2009-06-09,Panda Energy International,-1772.1
2009-06-09,Harley-Davidson,-2036.06
2009-06-10,The Travelers Companies,-5312.42
2009-06-10,Bain Capital,3429.42
2009-06-10,Constellation Brands,5325.85
2009-06-10,Arc Machines,222.19
2009-06-10,AnaSpec,1777.11
2009-06-11,American International Group,-50.58
2009-06-11,32325,-7124.63
2009-06-11,Smith & Wesson,-886.08
2009-06-12,Agilent Technologies,495.4
2009-06-12,Mattel,-302.35
2009-06-13,Campbell Soup Company,1054.9
2009-06-13,Stewart-Warner,8066.9
2009-06-14,Safeway Inc.,-2550.09
2009-06-14,Gerber Scientific,-1749.92
2009-06-15,Fairchild Semiconductor,9616.37
2009-06-16,International Game Technology (IGT),-2541.35
2009-06-16,The Manischewitz Company,-4878.96
2009-06-16,Arc Machines,-1390.38
2009-06-16,Peet's Coffee,2410.21
2009-06-17,Pep Boys,4302.3
2009-06-17,Devon Energy,-2202.75
2009-06-17,Adobe Systems,-4299.46
2009-06-17,Crane & Co.  Inc.,-4197.41
2009-06-17,Shure,113.71
2009-06-18,Brocade Communications Systems,-4610.88
2009-06-18,Oberweis Dairy,-1085.86
2009-06-18,CenturyLink,-653.08
2009-06-18,Kimball International,2010.36
2009-06-18,Planet Hollywood,3257.94
2009-06-21,Hearst Corporation,-15.7
2009-06-21,Maidenform Brands,3242.28
2009-06-22,Silicon Graphics International,-1037.62
2009-06-22,55554,-351.26
2009-06-22,MTX Audio,-3862.18
2009-06-22,Fluor Corporation,-3632.43
2009-06-22,Nucor,5251.82
2009-06-22,Pilgrim's Pride,371.66
2009-06-22,Hillerich & Bradsby Company,-116.72
2009-06-23,Plantronics,-976.18
2009-06-23,ABM Industries,3435.32
2009-06-24,Gardner Denver,247.06
2009-06-24,Textron,745.06
2009-06-24,Live Nation Entertainment,-1039.17
2009-06-24,24 Hour Fitness,177.82
2009-06-24,32325,-3092.25
2009-06-24,Bose Corporation,-1873.25
2009-06-24,32325,-1591.28
2009-06-25,International Lease Finance Corporation (ILFC),-4441.98
2009-06-25,Crowley Maritime,-665.81
2009-06-25,FedEx,-3930.85
2009-06-25,Russell Investments,307.25
2009-06-25,DeVry  Inc.,-6630.56
2009-06-25,The Travelers Companies,-710.17
2009-06-26,Interpublic Group,751.96
2009-06-26,Forest Laboratories,4997.2
2009-06-26,AbbVie,-3468.86
2009-06-26,Hallmark Cards,-4763.3
2009-06-26,American Licorice Company,1653.77
2009-06-26,House of Deréon,-967.84
2009-06-26,656547,-1370.42
2009-06-27,Spansion,5774.73
2009-06-28,QCR Holdings,-596.91
2009-06-28,Ranger Boats,-5018.66
2009-06-28,Faultless Starch/Bon Ami Company,-443.74
2009-06-28,Dollar General,-2171.6
2009-06-28,Lowe's,-2938.1
2009-06-28,Ashley Furniture Industries,7828.34
2009-06-28,Pier 1 Imports,-21.58
2009-06-30,DC Comics,-201.99
2009-06-30,Ceridian,2791.36
2009-06-30,32325,-720.3
2009-06-30,QuikTrip Corporation,5104.87
2009-06-30,DivX  Inc.,-1093.42
2009-06-30,Invacare Corporation,3800.54
2009-06-30,Gemini Sound Products,-7340.9
